invoice_id,transaction_id,supplier_id,buyer_id,carrier,has_shipment,invoice_amount,transaction_amount,amount_deviation_ratio,amount_to_supplier_avg_ratio,time_invoice_to_payment_hours,time_shipment_to_payment_hours,supplier_fraud_history,buyer_fraud_history,supplier_tx_volume,buyer_tx_volume,is_round_amount,tx_hour,is_weekend,is_night_tx,fraud_type,is_fraud
INV-SYN-10000,TXN-SYN-10000,SUPP-PACIFIC-08,BUYER-VORTEX-02,DHL Global Express,1,84313.39,83223.97,-0.0129,1.1097,444.15,340.42,0,0,1,1,0,9,0,0,NORMAL,0
INV-SYN-10001,TXN-SYN-10001,SUPP-TITAN-03,BUYER-OMEGA-01,DB Schenker,1,270321.5,266886.44,-0.0127,0.9532,897.22,710.09,1,0,1,1,0,10,0,0,NORMAL,0
INV-SYN-10002,TXN-SYN-10002,SUPP-PREC-04,BUYER-VORTEX-02,DHL Global Express,1,110382.6,108471.26,-0.0173,1.1418,712.17,651.57,0,0,1,2,0,13,0,0,NORMAL,0
INV-SYN-10003,TXN-SYN-10003,SUPP-TITAN-03,BUYER-STEEL-03,DB Schenker,1,386612.09,577869.7,0.4947,2.0638,474.22,403.88,1,1,2,1,0,19,0,0,AMOUNT_INFLATION,1
INV-SYN-10004,TXN-SYN-10004,SUPP-TITAN-03,BUYER-APEX-06,FedEx International,1,263609.26,258505.94,-0.0194,0.9232,485.35,390.42,1,0,3,1,0,11,1,0,NORMAL,0
INV-SYN-10005,TXN-SYN-10005,SUPP-GLOBAL-01,BUYER-APEX-06,Kuehne+Nagel Logistics,1,112975.89,112611.06,-0.0032,0.9384,474.53,353.87,0,0,1,2,0,16,0,0,NORMAL,0
INV-SYN-10006,TXN-SYN-10006,SUPP-SUSP-06,BUYER-QUICK-04,None,0,624597.49,624597.49,0.0,1.6015,1.2,-1.0,6,5,1,1,0,1,0,1,RAPID_GHOST_SETTLEMENT,1
INV-SYN-10007,TXN-SYN-10007,SUPP-TITAN-03,BUYER-GLOBAL-05,DB Schenker,1,333720.43,331592.08,-0.0064,1.1843,624.47,467.43,1,0,4,1,0,19,1,0,NORMAL,0
INV-SYN-10008,TXN-SYN-10008,SUPP-NEXUS-02,BUYER-OMEGA-01,Maersk Ocean Freight,1,75023.67,74342.62,-0.0091,0.8746,805.35,672.6,0,0,1,2,0,13,1,0,NORMAL,0
INV-SYN-10009,TXN-SYN-10009,SUPP-PACIFIC-08,BUYER-APEX-06,FedEx International,1,85173.0,85215.31,0.0005,1.1362,763.28,607.82,0,0,2,3,0,15,0,0,NORMAL,0
INV-SYN-10010,TXN-SYN-10010,SUPP-TITAN-03,BUYER-APEX-06,DHL Global Express,1,247560.76,243429.94,-0.0167,0.8694,383.89,266.27,1,0,5,4,0,10,0,0,NORMAL,0
INV-SYN-10011,TXN-SYN-10011,SUPP-NEXUS-02,BUYER-VORTEX-02,DHL Global Express,1,75103.24,74056.48,-0.0139,0.8713,370.81,259.09,0,0,2,3,0,11,1,0,NORMAL,0
INV-SYN-10012,TXN-SYN-10012,SUPP-PACIFIC-08,BUYER-APEX-06,Maersk Ocean Freight,1,79536.79,79200.72,-0.0042,1.056,414.86,269.45,0,0,3,5,0,21,0,0,NORMAL,0
INV-SYN-10013,TXN-SYN-10013,SUPP-NEXUS-02,BUYER-OMEGA-01,DHL Global Express,1,44342.79,44681.17,0.0076,0.5257,659.13,520.84,0,0,3,3,0,20,0,0,NORMAL,0
INV-SYN-10014,TXN-SYN-10014,SUPP-PACIFIC-08,BUYER-OMEGA-01,Maersk Ocean Freight,1,42657.79,42756.09,0.0023,0.5701,891.46,716.55,0,0,4,4,0,9,0,0,NORMAL,0
INV-SYN-10015,TXN-SYN-10015,SUPP-GLOBAL-01,BUYER-GLOBAL-05,DHL Global Express,1,103131.37,103340.62,0.002,0.8612,972.94,806.76,0,0,2,2,0,13,1,0,NORMAL,0
INV-SYN-10016,TXN-SYN-10016,SUPP-IND-05,BUYER-OMEGA-01,FedEx International,1,119486.76,117925.13,-0.0131,0.737,651.83,555.72,1,0,1,5,0,3,0,1,NORMAL,0
INV-SYN-10017,TXN-SYN-10017,SUPP-NEXUS-02,BUYER-VORTEX-02,DB Schenker,1,91677.76,91379.28,-0.0033,1.0751,607.17,454.78,0,0,4,4,0,4,0,1,NORMAL,0
INV-SYN-10018,TXN-SYN-10018,SUPP-PREC-04,BUYER-APEX-06,Kuehne+Nagel Logistics,1,73434.43,72333.23,-0.015,0.7614,606.96,542.82,0,0,2,6,0,8,0,0,NORMAL,0
INV-SYN-10019,TXN-SYN-10019,SUPP-PACIFIC-08,BUYER-VORTEX-02,Maersk Ocean Freight,1,48519.31,48422.15,-0.002,0.6456,751.68,570.05,0,0,5,5,0,23,1,1,NORMAL,0
INV-SYN-10020,TXN-SYN-10020,SUPP-TITAN-03,BUYER-GLOBAL-05,Maersk Ocean Freight,1,382595.41,382211.75,-0.001,1.365,769.93,605.05,1,0,6,3,0,1,1,1,NORMAL,0
INV-SYN-10021,TXN-SYN-10021,SUPP-IND-05,BUYER-VORTEX-02,Maersk Ocean Freight,1,150968.95,150441.64,-0.0035,0.9403,969.15,816.99,1,0,2,6,0,5,0,1,NORMAL,0
INV-SYN-10022,TXN-SYN-10022,SUPP-PREC-04,BUYER-APEX-06,DHL Global Express,1,96603.79,94772.17,-0.019,0.9976,630.94,550.57,0,0,3,7,0,17,0,0,NORMAL,0
INV-SYN-10023,TXN-SYN-10023,SUPP-TITAN-03,BUYER-OMEGA-01,DHL Global Express,1,180267.63,177862.25,-0.0133,0.6352,872.41,702.91,1,0,7,6,0,20,0,0,NORMAL,0
INV-SYN-10024,TXN-SYN-10024,SUPP-PACIFIC-08,BUYER-GLOBAL-05,DB Schenker,1,64792.82,64490.77,-0.0047,0.8599,457.85,332.83,0,0,6,4,0,17,1,0,NORMAL,0
INV-SYN-10025,TXN-SYN-10025,SUPP-GLOBAL-01,BUYER-APEX-06,DB Schenker,1,123327.68,121373.21,-0.0158,1.0114,483.18,389.91,0,0,3,8,0,12,0,0,NORMAL,0
INV-SYN-10026,TXN-SYN-10026,SUPP-TITAN-03,BUYER-GLOBAL-05,DHL Global Express,1,199430.45,197833.8,-0.008,0.7065,853.34,674.15,1,0,8,5,0,12,0,0,NORMAL,0
INV-SYN-10027,TXN-SYN-10027,SUPP-TITAN-03,BUYER-STEEL-03,None,0,100000.0,100000.0,0.0,0.3571,82.21,67.38,1,1,9,2,1,4,1,1,OFF_HOURS_ROUND_SUM,1
INV-SYN-10028,TXN-SYN-10028,SUPP-TITAN-03,BUYER-GLOBAL-05,DHL Global Express,1,237955.29,236296.54,-0.007,0.8439,942.99,761.87,1,0,10,6,0,17,1,0,NORMAL,0
INV-SYN-10029,TXN-SYN-10029,SUPP-NEXUS-02,BUYER-OMEGA-01,DB Schenker,1,78801.51,78720.01,-0.001,0.9261,309.15,264.71,0,0,5,7,0,12,0,0,NORMAL,0
INV-SYN-10030,TXN-SYN-10030,SUPP-IND-05,BUYER-VORTEX-02,Kuehne+Nagel Logistics,1,135931.74,136058.57,0.0009,0.8504,882.52,822.62,1,0,3,7,0,14,1,0,NORMAL,0
INV-SYN-10031,TXN-SYN-10031,SUPP-IND-05,BUYER-OMEGA-01,FedEx International,1,234091.13,231444.38,-0.0113,1.4465,539.22,441.7,1,0,4,8,0,17,0,0,NORMAL,0
INV-SYN-10032,TXN-SYN-10032,SUPP-PREC-04,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,94679.44,93531.62,-0.0121,0.9845,802.47,704.3,0,0,4,9,0,18,0,0,NORMAL,0
INV-SYN-10033,TXN-SYN-10033,SUPP-NEXUS-02,BUYER-VORTEX-02,DB Schenker,1,62523.64,61644.76,-0.0141,0.7252,455.33,357.66,0,0,6,8,0,0,0,1,NORMAL,0
INV-SYN-10034,TXN-SYN-10034,SUPP-IND-05,BUYER-VORTEX-02,DB Schenker,1,192901.8,190584.61,-0.012,1.1912,396.85,293.76,1,0,5,9,0,17,0,0,NORMAL,0
INV-SYN-10035,TXN-SYN-10035,SUPP-PACIFIC-08,BUYER-APEX-06,DB Schenker,1,52109.18,51611.5,-0.0096,0.6882,719.28,633.25,0,0,7,9,0,0,0,1,NORMAL,0
INV-SYN-10036,TXN-SYN-10036,SUPP-TITAN-03,BUYER-VORTEX-02,Kuehne+Nagel Logistics,1,294620.45,294174.58,-0.0015,1.0506,804.37,613.91,1,0,11,10,0,4,0,1,NORMAL,0
INV-SYN-10037,TXN-SYN-10037,SUPP-PREC-04,BUYER-OMEGA-01,FedEx International,1,48457.83,47828.11,-0.013,0.5035,837.56,694.64,0,0,5,10,0,7,0,0,NORMAL,0
INV-SYN-10038,TXN-SYN-10038,SUPP-GLOBAL-01,BUYER-OMEGA-01,FedEx International,1,80154.42,79135.77,-0.0127,0.6595,894.13,761.25,0,0,4,11,0,23,0,1,NORMAL,0
INV-SYN-10039,TXN-SYN-10039,SUPP-TITAN-03,BUYER-OMEGA-01,Kuehne+Nagel Logistics,1,293780.29,294993.14,0.0041,1.0535,337.25,253.65,1,0,12,12,0,18,1,0,NORMAL,0
